         60918 function calls (59702 primitive calls) in 1.202 seconds

   Ordered by: cumulative time
   List reduced from 1022 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    1.202    1.202 /Users/abhyaambati/bmi500/.venv/lib/python3.13/site-packages/legacy_api_wrap/__init__.py:83(fn_compatible)
        1    0.000    0.000    1.202    1.202 /Users/abhyaambati/bmi500/.venv/lib/python3.13/site-packages/scanpy/tools/_rank_genes_groups.py:469(rank_genes_groups)
        1    0.002    0.002    1.178    1.178 /Users/abhyaambati/bmi500/.venv/lib/python3.13/site-packages/scanpy/tools/_rank_genes_groups.py:398(compute_statistics)
        8    0.001    0.000    1.122    0.140 /Users/abhyaambati/bmi500/.venv/lib/python3.13/site-packages/scanpy/tools/_rank_genes_groups.py:277(wilcoxon)
        5    0.000    0.000    0.976    0.195 /Users/abhyaambati/bmi500/.venv/lib/python3.13/site-packages/scanpy/tools/_rank_genes_groups.py:45(_ranks)
        4    0.000    0.000    0.964    0.241 /Users/abhyaambati/bmi500/.venv/lib/python3.13/site-packages/pandas/core/generic.py:10012(rank)
        4    0.000    0.000    0.964    0.241 /Users/abhyaambati/bmi500/.venv/lib/python3.13/site-packages/pandas/core/generic.py:10127(ranker)
        4    0.964    0.241    0.964    0.241 /Users/abhyaambati/bmi500/.venv/lib/python3.13/site-packages/pandas/core/algorithms.py:1067(rank)
        1    0.000    0.000    0.070    0.070 /Users/abhyaambati/bmi500/.venv/lib/python3.13/site-packages/scanpy/tools/_rank_genes_groups.py:174(_basic_stats)
       18    0.000    0.000    0.067    0.004 /Users/abhyaambati/bmi500/.venv/lib/python3.13/site-packages/scipy/sparse/_index.py:29(__getitem__)
       14    0.000    0.000    0.062    0.004 /Users/abhyaambati/bmi500/.venv/lib/python3.13/site-packages/scipy/sparse/_csc.py:140(_get_arrayXslice)
       14    0.000    0.000    0.062    0.004 /Users/abhyaambati/bmi500/.venv/lib/python3.13/site-packages/scipy/sparse/_compressed.py:651(_minor_index_fancy)
       14    0.055    0.004    0.055    0.004 {built-in method scipy.sparse._sparsetools.csr_column_index2}
    99/98    0.000    0.000    0.051    0.001 /Users/abhyaambati/bmi500/.venv/lib/python3.13/site-packages/pandas/core/indexing.py:1177(__getitem__)
       68    0.000    0.000    0.049    0.001 /Users/abhyaambati/bmi500/.venv/lib/python3.13/site-packages/pandas/core/indexing.py:1690(_getitem_tuple)
       96    0.000    0.000    0.048    0.001 /Users/abhyaambati/bmi500/.venv/lib/python3.13/site-packages/pandas/core/indexing.py:1720(_getitem_axis)
       35    0.000    0.000    0.047    0.001 /Users/abhyaambati/bmi500/.venv/lib/python3.13/site-packages/pandas/core/indexing.py:1206(_getbool_axis)
       35    0.000    0.000    0.046    0.001 /Users/abhyaambati/bmi500/.venv/lib/python3.13/site-packages/pandas/core/generic.py:4164(_take_with_is_copy)
       35    0.000    0.000    0.046    0.001 /Users/abhyaambati/bmi500/.venv/lib/python3.13/site-packages/pandas/core/generic.py:4049(take)
       35    0.000    0.000    0.046    0.001 /Users/abhyaambati/bmi500/.venv/lib/python3.13/site-packages/pandas/core/internals/managers.py:888(take)
       28    0.000    0.000    0.045    0.002 /Users/abhyaambati/bmi500/.venv/lib/python3.13/site-packages/pandas/core/indexing.py:1005(_getitem_tuple_same_dim)
       36    0.000    0.000    0.045    0.001 /Users/abhyaambati/bmi500/.venv/lib/python3.13/site-packages/pandas/core/internals/managers.py:642(reindex_indexer)
       66    0.000    0.000    0.043    0.001 /Users/abhyaambati/bmi500/.venv/lib/python3.13/site-packages/pandas/core/internals/blocks.py:1353(take_nd)
    81/80    0.000    0.000    0.043    0.001 /Users/abhyaambati/bmi500/.venv/lib/python3.13/site-packages/pandas/core/array_algos/take.py:59(take_nd)
       80    0.043    0.001    0.043    0.001 /Users/abhyaambati/bmi500/.venv/lib/python3.13/site-packages/pandas/core/array_algos/take.py:120(_take_nd_ndarray)
     25/1    0.000    0.000    0.033    0.033 <frozen importlib._bootstrap>:1349(_find_and_load)
     25/1    0.000    0.000    0.033    0.033 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
     23/2    0.000    0.000    0.033    0.017 <frozen importlib._bootstrap>:911(_load_unlocked)
     23/2    0.000    0.000    0.033    0.016 <frozen importlib._bootstrap_external>:1020(exec_module)
     51/3    0.000    0.000    0.033    0.011 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
     23/2    0.000    0.000    0.032    0.016 {built-in method builtins.exec}
       23    0.000    0.000    0.030    0.001 <frozen importlib._bootstrap_external>:1093(get_code)
       23    0.000    0.000    0.028    0.001 <frozen importlib._bootstrap_external>:1214(get_data)
       28    0.000    0.000    0.027    0.001 /Users/abhyaambati/bmi500/.venv/lib/python3.13/site-packages/pandas/core/frame.py:11688(sum)
       28    0.000    0.000    0.027    0.001 /Users/abhyaambati/bmi500/.venv/lib/python3.13/site-packages/pandas/core/generic.py:12563(sum)
       28    0.000    0.000    0.027    0.001 /Users/abhyaambati/bmi500/.venv/lib/python3.13/site-packages/pandas/core/generic.py:12524(_min_count_stat_function)
       28    0.002    0.000    0.026    0.001 /Users/abhyaambati/bmi500/.venv/lib/python3.13/site-packages/pandas/core/frame.py:11462(_reduce)
       23    0.024    0.001    0.024    0.001 {built-in method _io.open_code}
      4/2    0.000    0.000    0.024    0.012 {built-in method builtins.__import__}
       28    0.000    0.000    0.023    0.001 /Users/abhyaambati/bmi500/.venv/lib/python3.13/site-packages/pandas/core/internals/managers.py:1502(reduce)


